Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
235,Donyell Marshall,SF,23,GSW,61,20,1022,8.9,21.5,.413,1.8,5.7,.315,7.1,15.8,.448,3.1,5.0,.622,4.7,9.4,14.1,2.8,1.3,2.4,2.8,4.9,22.7,,102,109,marshdo01
236,Cuonzo Martin,SG,25,MIL,3,0,13,0.0,28.9,.000,0.0,8.2,.000,0.0,20.6,.000,0.0,0.0,,4.1,0.0,4.1,4.1,0.0,0.0,4.1,4.1,0.0,,17,117,marticu01
237,Darrick Martin,PG,25,LAC,82,64,1820,8.4,20.7,.407,2.6,6.8,.389,5.8,14.0,.415,6.3,7.2,.872,0.8,2.5,3.3,9.8,1.6,0.1,3.7,4.8,25.8,,113,112,martida01
238,Jamal Mashburn,SF,24,TOT,69,51,2164,7.2,18.6,.385,2.3,6.9,.325,4.9,11.7,.421,4.0,5.7,.702,1.7,5.6,7.4,5.1,2.0,0.3,2.9,4.7,20.6,,102,105,mashbja01
238,Jamal Mashburn,SF,24,DAL,37,21,975,7.7,20.8,.372,2.3,7.2,.321,5.4,13.5,.400,4.0,6.1,.649,1.5,4.8,6.4,5.1,1.9,0.3,3.2,3.8,21.8,,97,110,mashbja01
238,Jamal Mashburn,SF,24,MIA,32,30,1189,6.7,16.8,.398,2.2,6.7,.329,4.5,10.1,.443,4.0,5.4,.752,1.9,6.3,8.2,5.1,2.0,0.3,2.6,5.4,19.6,,107,101,mashbja01
239,Anthony Mason,PF,30,CHH,73,73,3143,7.5,14.2,.525,0.0,0.1,.333,7.4,14.2,.526,5.5,7.4,.745,3.2,11.1,14.3,7.1,1.3,0.6,2.8,3.5,20.5,,121,106,masonan01
240,Tony Massenburg,PF,29,NJN,79,49,1954,5.8,12.0,.485,0.0,0.0,.000,5.8,12.0,.486,3.5,5.5,.631,5.9,7.8,13.7,0.6,1.0,1.3,2.4,5.8,15.1,,107,110,masseto01
241,Vernon Maxwell,SG,31,SAS,72,31,2068,9.0,24.1,.375,3.1,9.9,.309,6.0,14.2,.421,3.6,4.8,.744,0.7,3.5,4.2,4.1,2.3,0.5,3.2,4.5,24.7,,97,114,maxweve01
242,Lee Mayberry,PG,26,VAN,80,38,1952,4.1,10.3,.403,2.3,6.1,.376,1.8,4.1,.443,0.8,1.3,.630,0.8,2.9,3.7,9.1,1.7,0.2,2.5,4.4,11.4,,109,115,maybele01
243,Walter McCarty,PF,22,NYK,35,0,192,7.2,18.8,.382,1.1,3.9,.286,6.1,14.9,.407,2.2,3.9,.571,2.2,4.1,6.4,3.6,1.9,2.5,4.7,10.5,17.7,,83,100,mccarwa01
244,Amal McCaskill,C,23,ORL,17,1,109,5.0,16.0,.313,0.0,1.0,.000,5.0,15.0,.333,4.0,6.0,.667,2.0,9.0,11.0,3.5,1.5,2.5,5.5,3.5,14.0,,72,104,mccasam01
245,George McCloud,SF,29,TOT,64,28,1493,8.6,20.8,.412,3.6,9.1,.390,5.0,11.6,.429,3.0,3.6,.822,1.3,5.1,6.4,3.9,2.2,0.3,2.2,4.5,23.7,,109,108,mccloge01
245,George McCloud,SF,29,DAL,41,26,1207,9.1,21.5,.423,3.5,9.2,.380,5.6,12.4,.455,3.4,4.1,.837,1.3,5.1,6.4,4.1,2.3,0.4,2.3,4.7,25.1,,110,109,mccloge01
245,George McCloud,SF,29,LAL,23,2,286,6.3,17.7,.354,3.9,9.0,.429,2.4,8.7,.277,1.1,1.7,.667,1.3,5.3,6.6,3.1,1.7,0.0,1.7,3.7,17.5,,102,107,mccloge01
246,Xavier McDaniel,PF,33,NJN,62,5,1170,6.1,15.8,.389,0.2,1.1,.200,5.9,14.7,.403,2.9,4.0,.730,5.5,8.6,14.1,2.9,1.6,0.8,3.1,6.4,15.4,,97,109,mcdanxa01
247,Antonio McDyess,PF,22,DEN,74,73,2565,10.9,23.4,.463,0.1,0.7,.171,10.7,22.7,.472,5.5,7.8,.708,3.1,7.7,10.9,2.1,1.3,2.6,4.0,5.6,27.4,,98,109,mcdyean01
248,Jim McIlvaine,C,24,SEA,82,79,1477,4.7,9.9,.471,0.0,0.3,.143,4.6,9.7,.480,1.9,3.9,.495,4.7,7.1,11.9,0.8,1.4,5.9,2.2,8.9,11.3,,100,99,mcilvji01
249,Jeff McInnis,PG,22,DEN,13,0,117,10.2,21.8,.469,5.3,11.5,.462,4.9,10.2,.478,3.1,4.4,.700,0.9,1.8,2.7,8.0,0.9,0.4,5.8,7.1,28.9,,107,116,mcinnje01
250,Derrick McKey,SF,30,IND,50,49,1449,5.5,14.1,.391,0.6,2.2,.259,5.0,11.9,.414,3.3,4.6,.724,3.0,6.0,9.0,5.0,1.7,1.1,3.1,5.2,14.9,,98,105,mckeyde01
251,Aaron McKie,SG,24,TOT,83,11,1625,5.1,12.3,.411,1.4,3.5,.398,3.7,8.8,.416,3.1,3.7,.836,1.3,6.1,7.5,5.4,2.6,0.7,3.0,4.4,14.6,,105,103,mckieaa01
251,Aaron McKie,SG,24,POR,41,8,775,3.6,10.6,.340,1.6,3.7,.418,2.0,6.9,.297,2.8,3.3,.837,0.9,5.4,6.3,5.7,2.3,1.0,3.3,4.2,11.6,,97,103,mckieaa01
251,Aaron McKie,SG,24,DET,42,3,850,6.5,14.0,.464,1.2,3.2,.375,5.3,10.8,.491,3.4,4.1,.836,1.8,6.7,8.6,5.1,2.9,0.5,2.8,4.6,17.6,,111,102,mckieaa01
252,Nate McMillan,PG,32,SEA,37,2,798,4.1,9.9,.409,1.9,5.6,.333,2.2,4.3,.508,1.3,1.9,.655,1.0,6.9,7.9,9.3,3.9,0.4,2.1,5.2,11.3,,117,100,mcmilna01
253,Loren Meyer,PF,24,TOT,54,33,708,8.0,18.0,.443,0.3,0.5,.571,7.7,17.5,.439,3.4,4.7,.719,3.9,6.8,10.7,1.4,0.8,1.1,4.6,9.2,19.7,,90,110,meyerlo01
253,Loren Meyer,PF,24,DAL,19,16,259,7.1,16.2,.436,0.2,0.4,.500,6.9,15.8,.434,1.9,2.5,.750,2.9,7.3,10.2,1.5,1.2,0.6,5.6,10.8,16.2,,79,109,meyerlo01
253,Loren Meyer,PF,24,PHO,35,17,449,8.5,19.0,.446,0.3,0.6,.600,8.1,18.5,.441,4.2,6.0,.712,4.5,6.5,11.0,1.4,0.6,1.4,4.0,8.4,21.6,,95,110,meyerlo01
254,Anthony Miller,PF,25,ATL,1,0,14,0.0,19.7,.000,0.0,0.0,,0.0,19.7,.000,0.0,0.0,,7.9,19.7,27.6,0.0,0.0,0.0,0.0,7.9,0.0,,30,97,millean01
255,Oliver Miller,C,26,TOT,61,8,1152,5.7,11.1,.517,0.0,0.1,.000,5.7,11.0,.521,2.2,3.7,.608,4.9,9.4,14.3,4.1,2.2,2.9,4.2,8.4,13.7,,99,103,milleol01
255,Oliver Miller,C,26,DAL,42,0,836,4.9,9.9,.494,0.0,0.1,.000,4.9,9.9,.497,1.8,3.4,.528,5.3,9.7,15.0,3.7,2.2,3.2,4.5,8.6,11.6,,92,102,milleol01
255,Oliver Miller,C,26,TOR,19,8,316,7.9,14.1,.560,0.0,0.2,.000,7.9,13.9,.566,3.4,4.4,.769,3.9,8.4,12.2,4.9,2.2,2.2,3.4,8.0,19.1,,115,105,milleol01
256,Reggie Miller*,SG,31,IND,81,81,2966,10.0,22.6,.444,4.2,9.7,.427,5.9,12.9,.456,7.6,8.6,.880,1.0,4.2,5.2,5.0,1.4,0.5,3.0,3.1,31.8,,121,108,millere01
257,Chris Mills,SF,27,CLE,80,79,3167,7.4,16.3,.453,1.6,4.0,.391,5.8,12.3,.473,3.2,3.8,.842,2.2,6.9,9.1,3.6,1.6,0.7,2.2,4.1,19.6,,111,103,millsch01
258,Terry Mills,PF,29,DET,79,5,1997,8.9,20.0,.444,5.0,11.8,.422,3.9,8.2,.477,1.6,2.0,.829,1.9,8.8,10.7,2.8,1.0,0.8,2.4,4.6,24.4,,114,105,millste01
259,Greg Minor,SF,25,BOS,23,15,547,8.6,18.0,.480,0.1,0.7,.125,8.5,17.2,.495,2.8,3.3,.861,2.7,4.6,7.3,3.1,1.4,0.2,2.0,4.1,20.2,,108,114,minorgr01
260,Sam Mitchell,SF,33,MIN,82,5,2044,7.0,15.6,.446,0.1,0.6,.160,6.9,15.0,.458,5.8,7.6,.759,2.9,5.5,8.4,2.0,1.3,0.5,2.4,6.0,19.8,,106,109,mitchsa01
261,Eric Mobley,C,26,VAN,28,8,307,4.9,11.1,.444,0.0,0.0,,4.9,11.1,.444,2.8,5.3,.533,5.3,4.9,10.3,2.5,0.9,1.8,5.1,7.8,12.7,,84,114,mobleer01
262,Eric Montross,C,25,TOT,78,77,1828,4.6,10.1,.456,0.0,0.0,,4.6,10.1,.456,0.6,1.8,.339,5.2,9.8,15.0,1.8,0.6,2.1,2.2,7.8,9.8,,96,108,montrer01
262,Eric Montross,C,25,DAL,47,46,984,4.7,10.2,.460,0.0,0.0,,4.7,10.2,.460,0.5,1.9,.294,3.6,9.3,12.9,1.8,0.5,1.9,2.8,8.2,10.0,,87,108,montrer01
262,Eric Montross,C,25,NJN,31,31,844,4.5,10.0,.451,0.0,0.0,,4.5,10.0,.451,0.7,1.7,.393,7.1,10.3,17.4,1.8,0.7,2.4,1.6,7.3,9.7,,107,108,montrer01
263,Tracy Moore,SG,31,HOU,27,1,237,7.3,18.8,.388,2.4,9.5,.256,4.9,9.3,.524,4.9,6.9,.710,2.4,3.3,5.7,4.4,1.1,0.0,3.1,4.2,21.9,,103,109,mooretr01
264,Chris Morris,SF,31,UTA,73,1,977,6.7,16.3,.408,1.7,6.2,.274,5.0,10.1,.489,2.1,2.9,.722,2.0,6.8,8.8,2.3,1.6,1.3,2.5,6.6,17.1,,97,104,morrich01
265,Lawrence Moten,SG,24,VAN,67,18,1214,7.6,19.7,.388,1.8,6.3,.291,5.8,13.4,.433,2.9,4.4,.646,1.9,3.4,5.3,5.8,2.1,1.1,3.6,3.7,20.0,,94,113,motenla01
266,Alonzo Mourning*,C,26,MIA,66,65,2320,11.1,20.7,.534,0.0,0.2,.111,11.1,20.5,.539,8.5,13.2,.642,4.4,10.9,15.4,2.4,1.3,4.4,5.3,6.4,30.7,,106,95,mournal01
