Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Alaa Abdelnaby,PF,22,POR,43,0,290,9.1,19.1,.474,0.0,0.0,,9.1,19.1,.474,4.1,7.2,.568,4.4,10.2,14.7,2.0,0.7,2.0,3.6,6.4,22.2,,99,103,abdelal01
2,Mahmoud Abdul-Rauf,PG,21,DEN,67,19,1505,11.7,28.3,.413,0.7,2.8,.240,11.0,25.5,.432,2.4,2.7,.857,1.0,2.4,3.4,5.8,1.5,0.1,3.1,4.2,26.4,,96,118,abdulma02
3,Mark Acres,C,28,ORL,68,0,1313,4.0,7.9,.509,0.0,0.1,.333,4.0,7.8,.512,2.4,3.7,.653,5.1,8.0,13.2,0.9,0.9,0.9,1.5,8.0,10.5,,116,109,acresma01
4,Michael Adams,PG,28,DEN,66,66,2346,10.1,25.6,.394,3.0,10.2,.296,7.1,15.4,.459,8.4,9.5,.879,1.0,3.6,4.6,12.5,2.6,0.1,4.3,2.9,31.5,,113,115,adamsmi01
5,Mark Aguirre,SF,31,DET,78,13,2006,10.9,23.7,.462,0.6,2.0,.308,10.3,21.6,.477,6.2,8.3,.757,3.5,6.2,9.7,3.6,1.2,0.5,3.3,5.4,28.7,,109,105,aguirma01
6,Danny Ainge,SG,31,POR,80,0,1710,9.4,19.9,.472,2.8,7.0,.406,6.6,12.9,.508,3.2,3.9,.826,1.3,4.5,5.7,8.0,1.8,0.4,2.8,5.4,24.9,,119,106,aingeda01
7,Mark Alarie,PF,27,WSB,42,1,587,8.3,18.9,.440,0.4,1.8,.238,7.9,17.1,.461,3.4,4.0,.854,3.4,6.4,9.8,3.8,1.3,0.7,3.4,7.4,20.5,,100,109,alarima01
8,Steve Alford,PG,26,DAL,34,0,236,12.7,25.3,.504,1.5,5.0,.304,11.2,20.3,.553,5.6,6.7,.839,2.2,3.0,5.2,4.8,1.7,0.2,3.5,2.4,32.6,,112,113,alforst01
9,Greg Anderson,PF,26,TOT,68,2,924,5.5,12.9,.430,0.0,0.0,.000,5.5,12.9,.431,2.9,5.5,.522,4.6,10.6,15.2,0.8,1.7,2.2,4.0,6.7,14.0,,86,109,andergr01
9,Greg Anderson,PF,26,MIL,26,0,247,5.5,14.8,.370,0.0,0.2,.000,5.5,14.6,.375,3.2,5.7,.571,5.3,9.9,15.2,0.6,1.6,1.8,4.4,5.9,14.2,,81,104,andergr01
9,Greg Anderson,PF,26,NJN,1,0,18,10.7,10.7,1.000,0.0,0.0,,10.7,10.7,1.000,0.0,0.0,,10.7,5.4,16.1,2.7,5.4,0.0,2.7,10.7,21.5,,158,101,andergr01
9,Greg Anderson,PF,26,DEN,41,2,659,5.4,12.4,.440,0.0,0.0,,5.4,12.4,.440,2.8,5.6,.506,4.3,10.9,15.2,0.8,1.6,2.3,3.9,6.9,13.7,,87,110,andergr01
10,Nick Anderson,SG,23,ORL,70,42,1971,9.8,21.0,.467,0.4,1.4,.293,9.4,19.6,.479,4.2,6.3,.668,2.3,7.2,9.4,2.6,1.8,1.1,2.8,3.5,24.2,,104,108,anderni01
11,Ron Anderson,SF,32,PHI,82,13,2340,11.0,22.6,.485,0.2,0.9,.209,10.8,21.7,.497,3.5,4.2,.833,2.2,5.7,7.9,2.5,1.4,0.3,2.1,3.5,25.7,,107,110,anderro01
12,Willie Anderson,SG,24,SAS,75,75,2592,8.5,18.6,.457,0.1,0.7,.200,8.4,18.0,.467,3.2,4.0,.798,1.3,5.3,6.6,6.7,1.5,0.9,3.1,4.2,20.3,,103,105,anderwi01
