Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
563,Dylan Windler,SF,27,ATL,6,0,73,6.6,12.5,.526,5.3,11.2,.471,1.3,1.3,1.000,0.0,0.0,,2.0,5.9,7.9,2.0,1.3,0.0,1.3,2.0,18.4,,137,121,windldy01
564,James Wiseman,C,22,DET,63,6,1091,8.2,13.4,.613,0.0,0.1,.000,8.2,13.4,.617,3.2,4.5,.706,4.9,10.0,14.8,2.4,0.5,1.7,2.9,6.2,19.7,,119,118,wisemja01
565,Isaiah Wong,SG,23,IND,1,0,4,11.8,35.4,.333,0.0,11.8,.000,11.8,23.6,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,,70,127,wongis01
566,Christian Wood,PF,28,LAL,50,1,872,6.7,14.4,.466,1.9,6.2,.307,4.8,8.2,.587,3.6,5.1,.702,2.1,11.7,13.9,2.7,0.9,1.8,2.7,3.9,18.9,,107,113,woodch01
567,Delon Wright,PG,31,TOT,47,1,742,4.8,12.1,.394,1.6,4.4,.368,3.2,7.7,.408,2.4,2.9,.822,1.2,4.3,5.6,7.7,3.5,0.7,0.9,2.1,13.6,,120,114,wrighde01
567,Delon Wright,PG,31,WAS,33,0,456,4.9,12.5,.393,1.4,3.9,.368,3.5,8.6,.405,2.5,3.0,.828,1.3,4.7,6.1,8.4,3.6,0.8,1.1,2.3,13.7,,118,116,wrighde01
567,Delon Wright,PG,31,MIA,14,1,286,4.5,11.5,.394,1.9,5.2,.367,2.6,6.3,.417,2.3,2.8,.813,1.0,3.7,4.7,6.5,3.3,0.5,0.5,1.7,13.3,,124,111,wrighde01
568,Thaddeus Young,PF,35,TOT,33,6,439,7.2,11.9,.602,0.1,0.8,.143,7.1,11.1,.634,0.7,1.7,.400,5.1,6.3,11.4,6.3,2.5,0.6,1.7,5.4,15.1,,130,116,youngth01
568,Thaddeus Young,PF,35,TOR,23,6,350,7.5,12.0,.621,0.1,0.8,.167,7.3,11.2,.654,0.7,1.7,.417,4.0,6.3,10.3,6.9,2.5,0.4,1.5,5.2,15.7,,132,117,youngth01
568,Thaddeus Young,PF,35,PHO,10,0,89,6.0,11.5,.524,0.0,0.5,.000,6.0,11.0,.550,0.5,1.6,.333,9.3,6.0,15.4,3.8,2.7,1.1,2.2,6.0,12.6,,123,112,youngth01
569,Trae Young,PG,25,ATL,54,54,1942,10.7,24.9,.430,4.3,11.6,.373,6.4,13.3,.479,8.6,10.1,.855,0.6,3.1,3.7,14.4,1.8,0.3,5.8,2.7,34.3,,117,122,youngtr01
570,Omer Yurtseven,C,25,UTA,48,12,545,8.8,16.3,.538,0.4,2.1,.208,8.3,14.2,.588,1.7,2.5,.679,6.4,12.0,18.4,2.6,0.7,1.6,3.3,4.6,19.7,,112,118,yurtsom01
571,Cody Zeller,C,31,NOP,43,0,320,4.0,9.5,.419,0.2,0.5,.333,3.8,9.0,.424,3.5,5.8,.605,7.4,9.8,17.2,6.0,1.4,0.8,2.5,6.9,11.6,,119,112,zelleco01
572,Ivica Zubac,C,26,LAC,68,68,1794,9.3,14.3,.649,0.0,0.0,,9.3,14.3,.649,3.3,4.6,.723,5.4,11.8,17.2,2.6,0.6,2.3,2.2,5.0,21.9,,132,113,zubaciv01
